,stalta_r1,stalta_r2,stalta_1mr3,stalta_das,stalta_dasend,oms
0,0.5,0.6129032258064516,0.5331230283911672,0.4,0.4117647058823529,0.625
1,1.0,1.0,1.0,0.3,0.6078431372549019,0.53125
2,0.40384615384615385,0.8387096774193549,0.694006309148265,1.0,1.0,0.4375
3,0.1346153846153846,0.06451612903225806,0.0694006309148265,0.05,0.11764705882352941,0.28125
4,0.0,0.0,0.0,0.0,0.0,0.234375
5,0.11538461538461539,0.1935483870967742,0.08201892744479496,0.0,0.0392156862745098,0.328125
6,0.038461538461538464,0.06451612903225806,0.21451104100946372,0.0,0.0,0.21875
7,0.019230769230769232,0.0,0.08517350157728706,0.0,0.0784313725490196,0.109375
8,0.15384615384615385,0.2903225806451613,0.0473186119873817,0.0,0.0,0.140625
9,0.25,0.3225806451612903,0.2618296529968454,0.0,0.09803921568627451,0.359375
10,0.6153846153846154,0.6774193548387096,0.5488958990536278,0.0,0.11764705882352941,0.453125
11,0.38461538461538464,0.9032258064516129,0.42586750788643535,0.2,0.7058823529411765,0.78125
12,0.3269230769230769,0.22580645161290322,0.3943217665615142,0.0,0.058823529411764705,0.84375
13,0.038461538461538464,0.1935483870967742,0.05993690851735016,0.0,0.0,0.4375
14,0.1346153846153846,0.0,0.167192429022082,0.0,0.11764705882352941,1.0
15,0.1346153846153846,0.06451612903225806,0.25236593059936907,0.0,0.0,0.53125
16,0.0,0.03225806451612903,0.03470031545741325,0.0,0.0,0.515625
17,0.15384615384615385,0.0,0.14826498422712933,0.0,0.0,0.28125
18,0.0,0.03225806451612903,0.04100946372239748,0.0,0.0,0.0
19,0.019230769230769232,0.06451612903225806,0.03470031545741325,0.0,0.0,0.15625
20,0.36538461538461536,0.5161290322580645,0.3028391167192429,0.05,0.37254901960784315,0.125
21,0.5384615384615384,0.7096774193548387,0.3785488958990536,0.1,0.23529411764705882,0.375
22,0.5769230769230769,0.6451612903225806,0.48580441640378547,0.15,0.8235294117647058,0.21875
23,0.46153846153846156,0.8387096774193549,0.7854889589905363,0.15,0.49019607843137253,0.140625
