,s1,s2,s3
2022-09-04 17:00:00+00:00,0.21137327558524976,-0.41922500843423544,-0.8819522750734095
2022-09-04 17:01:40+00:00,0.13497156737061833,-0.2363684755377471,-0.9599584683279196
2022-09-04 17:03:20+00:00,0.021357895870072124,-0.08241261575914294,-0.9952132475872832
2022-09-04 17:05:00+00:00,-0.13574605081308008,0.04146974615907914,-0.9881259340047837
2022-09-04 17:06:40+00:00,-0.3014761804665128,0.16300215691017603,-0.9374294770260652
2022-09-04 17:08:20+00:00,-0.4332557148238022,0.23568837078288193,-0.8688685010870297
2022-09-04 17:10:00+00:00,-0.4042987614125013,0.20443683212622996,-0.8899576294918855
2022-09-04 17:11:40+00:00,-0.43079152328272663,0.06675883290823545,-0.8986373995741208
2022-09-04 17:13:20+00:00,-0.5202662985026837,-0.054333857673530744,-0.8504591765006382
2022-09-04 17:15:00+00:00,-0.6649293492237727,-0.12262985670628643,-0.7339527821044127
2022-09-04 17:16:40+00:00,-0.8351525923609733,-0.1468638930190354,-0.5244872889667749
2022-09-04 17:18:20+00:00,-0.9296309538185596,-0.24136110021422308,-0.27144372963656976
2022-09-04 17:20:00+00:00,-0.9279000212252139,-0.35581906619171294,-0.09876562857767562
2022-09-04 17:21:40+00:00,-0.8815513823926449,-0.4500616471221049,-0.13220900627473986
2022-09-04 17:23:20+00:00,-0.8132960246006647,-0.4389353366941214,-0.3740756706520915
2022-09-04 17:25:00+00:00,-0.6582262136042119,-0.37647457785904404,-0.6456133454541364
2022-09-04 17:26:40+00:00,-0.42826095345119636,-0.1912573629369338,-0.8796932376921177
2022-09-04 17:28:20+00:00,-0.13023522178176786,0.012104175045775859,-0.9892084778348604
2022-09-04 17:30:00+00:00,0.08351496968806407,0.1939932202547788,-0.9751788635055224
2022-09-04 17:31:40+00:00,0.22211966326460236,0.3369739369427164,-0.9128773863613605
2022-09-04 17:33:20+00:00,0.3106046486149231,0.4391245514402786,-0.8417543297509352
2022-09-04 17:35:00+00:00,0.43584925405681135,0.47358920517067116,-0.7626316100855668
2022-09-04 17:36:40+00:00,0.5168976150949796,0.528550216431419,-0.671678288380305
2022-09-04 17:38:20+00:00,0.5248463390519221,0.5952744878828525,-0.6066721854607263
