,raw,raw,raw,raw,raw,raw,dt,dt,dt,dt,dt,dt,env,env,env,env,env,env
,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ
Time,,,,,,,,,,,,,,,,,,
2022-09-10 19:19:08.519500+00:00,-21884.0,29587.0,-4272.0,-278.0,3229.0,1278.0,102.0,24.0,398.0,-66.0,-55.0,-9.0,103.76415566080611,172.5726899985433,401.3776276774778,269.73876250921,64.09368143584823,91.08969938106796
2022-09-10 19:19:08.544500+00:00,-21784.0,29494.0,-4357.0,-206.0,3275.0,1282.0,100.0,-93.0,-85.0,72.0,46.0,4.0,114.61384442262346,141.6239151179395,127.67145334803703,104.42381592976449,60.47589051294186,31.432467291003423
2022-09-10 19:19:08.569500+00:00,-21733.0,29610.0,-4422.0,-177.0,3279.0,1290.0,51.0,116.0,-65.0,29.0,4.0,8.0,80.55432949258531,133.94526245199316,82.1462111116514,49.27473997901967,12.767145334803706,28.290163190291665
2022-09-10 19:19:08.594500+00:00,-21779.0,29469.0,-4502.0,-310.0,3080.0,1229.0,-46.0,-141.0,-80.0,-133.0,-199.0,-61.0,65.18691075157138,142.3598726233391,80.1332224070225,149.69747270189077,203.2953516438583,107.34989520255714
2022-09-10 19:19:08.619500+00:00,-21886.0,29137.0,-4539.0,-287.0,3080.0,1292.0,-107.0,-332.0,-37.0,23.0,0.0,63.0,251.9073903904634,334.45079359052704,208.27225771411162,31.39001964531612,23.094010767585054,88.23453594445506
2022-09-10 19:19:08.644500+00:00,-21997.0,29355.0,-4421.0,-295.0,3205.0,1225.0,-111.0,218.0,118.0,-8.0,125.0,-67.0,198.48425630260957,254.95947390386053,175.92422611264578,8.962886439832504,129.5582237194279,151.83653490953134
2022-09-10 19:19:08.669500+00:00,-22108.0,29463.0,-4642.0,-345.0,3102.0,1203.0,-111.0,108.0,-221.0,-50.0,-103.0,-22.0,133.99378095021177,125.28899925106487,239.0864557714078,84.5064100132844,104.26089071810836,22.479620400116488
2022-09-10 19:19:08.694500+00:00,-22236.0,29262.0,-4639.0,-337.0,3163.0,1231.0,-128.0,-201.0,3.0,8.0,61.0,28.0,184.02264353424914,214.7587794092091,120.70349345952393,34.428670223134276,62.083277404896506,112.65433857601757
2022-09-10 19:19:08.719500+00:00,-22187.0,29510.0,-4566.0,-374.0,3274.0,1173.0,49.0,248.0,73.0,-37.0,111.0,-58.0,183.33848477611022,248.3867951401604,180.01111076819674,43.01550108197431,111.66019881766287,68.15668223537098
2022-09-10 19:19:08.744500+00:00,-22111.0,29601.0,-4693.0,-346.0,3209.0,1222.0,76.0,91.0,-127.0,28.0,-65.0,49.0,79.77468270071653,148.38238889212337,132.1060180309739,45.44593857907804,66.12110101926616,95.01578816175763
2022-09-10 19:19:08.769500+00:00,-22100.0,29427.0,-4485.0,-336.0,3200.0,1317.0,11.0,-174.0,208.0,10.0,-9.0,95.0,155.69628554764347,207.875764179794,233.5579870895734,125.68346483660186,49.89321931218042,95.69918146637063
2022-09-10 19:19:08.794500+00:00,-22012.0,29420.0,-4159.0,-384.0,3161.0,1433.0,88.0,-7.0,326.0,-48.0,-39.0,116.0,113.07961796893373,137.5875478861853,326.85827713755896,216.1303618960865,102.40279944090068,137.2309488903044
2022-09-10 19:19:08.819500+00:00,-22121.0,29389.0,-3895.0,-394.0,3168.0,1517.0,-109.0,-31.0,264.0,-10.0,7.0,84.0,127.62967262095964,217.57144420473318,264.27826244320585,148.7156122716554,54.720501947015556,107.43059775191298
2022-09-10 19:19:08.844500+00:00,-22245.0,29351.0,-3760.0,-435.0,3081.0,1561.0,-124.0,-38.0,135.0,-41.0,-87.0,44.0,132.73030299571133,154.28652998020704,135.01111065390134,134.56968455042167,99.88660237155595,48.9114846772548
2022-09-10 19:19:08.869500+00:00,-22214.0,29092.0,-3732.0,-529.0,2939.0,1636.0,31.0,-259.0,28.0,-94.0,-142.0,75.0,195.31086332647584,259.00579144104097,99.2924971989324,135.90192542172952,172.29141979023024,124.9052974590483
2022-09-10 19:19:08.894500+00:00,-22328.0,28954.0,-3422.0,-532.0,2947.0,1784.0,-114.0,-138.0,310.0,-3.0,8.0,148.0,200.65226969394922,281.0148276040489,319.64824416849217,174.38558808953601,87.5461782908502,163.90647739895252
2022-09-10 19:19:08.919500+00:00,-22392.0,28917.0,-3010.0,-437.0,2761.0,1852.0,-64.0,-37.0,412.0,95.0,-186.0,68.0,88.15327560561775,277.2982750276916,418.98926000555196,358.08704714542984,186.6520827636273,97.90471558272021
2022-09-10 19:19:08.944500+00:00,-22308.0,28425.0,-3035.0,-486.0,2523.0,1807.0,84.0,-492.0,-25.0,-49.0,-238.0,-45.0,271.40191598439395,496.0084004664975,256.98508387323443,132.37824594698327,238.0112042180647,191.275542956577
2022-09-10 19:19:08.969500+00:00,-22275.0,28164.0,-3203.0,-570.0,2560.0,1854.0,33.0,-261.0,-168.0,-84.0,37.0,47.0,180.85998267536502,285.6361321681835,196.63926362758784,145.13556880838453,84.19817891934085,47.056703383612984
2022-09-10 19:19:08.994500+00:00,-22270.0,28397.0,-3078.0,-596.0,2563.0,1919.0,5.0,233.0,125.0,-26.0,3.0,65.0,97.12363255150623,243.08229059312404,194.89826405931205,75.08217720160579,52.624455658309,65.01025560119983
2022-09-10 19:19:09.019500+00:00,-22411.0,28334.0,-2869.0,-690.0,2494.0,1903.0,-141.0,-63.0,209.0,-94.0,-69.0,-16.0,143.58737177528297,211.66561679529656,209.76494781858415,186.00358419485718,82.39538822045805,44.54211490264016
2022-09-10 19:19:09.044500+00:00,-22733.0,28292.0,-2958.0,-831.0,2645.0,1858.0,-322.0,-42.0,-89.0,-141.0,151.0,-45.0,322.00465835139715,140.92669489253387,105.77334257741879,197.68914992988357,160.85086260259843,276.76945881605747
2022-09-10 19:19:09.069500+00:00,-22979.0,28570.0,-3108.0,-896.0,2631.0,1903.0,-246.0,278.0,-150.0,-65.0,-14.0,45.0,280.3789102863005,283.47133893923035,248.4277225539318,101.93298452087689,65.03332479070504,141.30227646196408
2022-09-10 19:19:09.094500+00:00,-23125.0,28344.0,-2984.0,-975.0,2421.0,1883.0,-146.0,-226.0,124.0,-79.0,-210.0,-20.0,188.31179817880061,274.54689945435547,150.26310259009026,208.3898589983047,212.7447610009077,42.01587001756995
2022-09-10 19:19:09.119500+00:00,-23255.0,27940.0,-2988.0,-1091.0,2344.0,1924.0,-130.0,-404.0,-4.0,-116.0,-77.0,41.0,287.9380720455934,410.49725943055944,166.3249830903343,123.41933938136816,118.9341554530629,51.15988011453245
2022-09-10 19:19:09.144500+00:00,-23415.0,27877.0,-2783.0,-1279.0,2253.0,2066.0,-160.0,-63.0,205.0,-188.0,-91.0,142.0,199.01842460770644,219.9484788156838,217.3323108360405,254.06560832456904,211.14213222377003,147.48220231607607
2022-09-10 19:19:09.169500+00:00,-23617.0,27712.0,-2462.0,-1356.0,2108.0,2073.0,-202.0,-165.0,321.0,-77.0,-145.0,7.0,225.08961178458088,344.0949481368962,324.9958974100032,279.8469819979006,152.8953890737062,33.645207682521445
