,dt,metric
0,1676,6.943186000666545
1,1015,8.100726701051572
2,947,5.229079615954542
3,773,5.52535310360443
4,603,6.926401125216452
5,602,3.665214291811623
6,549,3.4338053329362777
7,547,6.759799824582194
8,527,4.9335778747915136
9,514,6.2665820173344535
10,507,3.2752708784286853
11,458,3.8947806440323243
12,456,3.7532020643381894
13,456,3.7247870576952447
14,453,2.666591055390162
15,441,5.108770640075899
16,417,3.489365824466577
17,415,1.8012481794626325
18,387,3.948326977883835
19,362,7.227204550061819
20,358,5.665539419694283
21,352,3.8514693745582105
22,349,4.43004332627266
23,340,2.3586691146048846
24,332,5.780025260836965
25,325,0.9686030861502919
26,325,2.1516990015054467
27,324,6.294034008269425
28,318,6.842402116898359
29,311,4.9170196485332225
30,309,6.3816302347860425
31,309,4.09030648965853
32,307,1.1566284329693277
33,298,5.106740276455979
34,296,5.831818455019179
35,291,7.27427658205931
36,290,3.5728934531416097
37,290,4.8278099694031695
38,288,4.132967175311008
39,281,7.38202731142019
40,279,6.216966088631829
41,278,3.8937117589327546
42,277,6.095474490831201
43,270,6.145986371463004
44,270,8.461144160006658
45,256,5.739431385985593
46,254,4.120675984661876
47,254,4.958786413891704
48,253,2.3514648835776377
49,251,5.8637842788423304
50,249,2.568391115147672
51,246,1.986732191664241
52,244,4.899918214134708
53,241,4.891351846186597
54,239,4.785238869912955
55,239,2.808973286485056
56,237,3.2518589611632147
57,234,4.3100259760282995
58,234,0.9679914753928086
59,232,5.817332835347687
60,231,3.913615036995708
61,230,3.975998264232053
62,230,2.3807373264622775
63,229,5.124996634072364
64,227,2.011596661079709
65,221,3.7970229983297754
66,218,2.8997462477378364
67,217,2.1650251857451033
68,215,1.3919104961816338
69,214,4.22994790224669
70,214,2.2946668254788265
71,214,2.601071275476551
72,213,4.201383635102324
73,213,5.952175166475729
74,212,3.243641551757309
75,211,2.830836516294043
76,211,0.5697942340009273
77,211,2.595070523238081
78,210,1.6821286043783885
79,210,2.1806005290952997
80,210,5.1598584269090155
81,210,2.270805484855221
82,210,0.8259839252691071
83,210,4.152638192431738
84,210,1.1466270968537668
85,210,4.0664313493453355
86,210,9.674320029875256
87,210,4.456453042421535
88,210,4.72978648444913
89,210,1.7763504756897337
90,210,3.409058992837773
91,210,1.0703997266105199
92,209,2.5081200606111866
93,209,1.5210658057601305
94,209,0.6778627175679726
95,209,3.07525596884874
96,209,7.235821860523758
97,209,1.299305624561967
98,209,3.508085682134606
99,209,1.0802033952810046
100,209,1.5957634828506881
101,209,2.3300832481033487
102,209,0.6932814466866181
103,209,6.252991701338874
104,209,3.4940943429751026
105,209,1.594551357010973
106,209,9.241579254673136
107,209,1.5891480021974738
108,209,2.2597997876999965
109,209,2.4110590482251144
110,209,3.1408393444181173
111,209,0.7373746734899402
112,209,3.2659102916151417
113,209,0.5348911120021855
114,209,2.28887015732049
115,209,2.8466755207441596
116,209,1.2017310630340907
117,209,1.8787230967637643
118,209,0.8368997138816139
119,209,7.353242040167025
120,209,0.8153291541510991
121,209,7.048599876261134
122,209,2.728210227726533
123,209,3.6983862584151828
124,209,0.8416811491211753
125,209,4.42357937932592
126,209,3.1901668025317234
127,209,2.729944208915811
128,209,3.7823102045191934
129,209,1.2681130184240574
130,209,0.8531634229568945
131,209,2.171006197396417
132,209,0.8049694480639505
133,209,1.1712661367140556
134,209,0.9540709449528632
135,209,5.105618672819364
136,209,11.461156131803799
137,209,2.2665519042965516
138,209,4.967022150811193
139,209,1.1976063672649597
140,209,1.0798065013618452
141,209,3.039463829777377
142,209,3.947508086076641
143,209,1.1505928444645739
144,209,1.8435019679685323
145,209,0.610085713212005
146,209,3.616732608987105
147,209,1.2326393445071193
148,209,4.065169664103285
149,209,4.167127459606409
150,209,7.067010195586591
151,209,1.9353099842661539
152,209,3.0162430657115675
153,209,0.8439740777391169
154,104,2.813326445068019
