,stalta,stalta_end,stalta_end_norm,s1,s2,s3,rs1,rs2,rs3,rs3_inv,rs1_stalta,rs2_stalta,rs3_stalta,rs3_inv_stalta
34,2.7845674,4.730748,2.090529237696884,-125.875,90.1875,-162.6875,-54.5,-5.5625,-14.625,-5.3125,-5.3125,-5.3125,136.1875,-5.3125
35,2.9840744,4.7039638,2.0399014266540885,-125.875,90.1875,-162.6875,-54.5,-5.5625,-14.625,-5.3125,-5.3125,-5.3125,136.1875,-5.3125
36,5.2727194,9.1114645,3.8731703129772295,149.6875,-5.1875,-5.5625,117.9375,-5.5625,-56.125,-5.375,-5.375,-5.375,-86.625,-5.375
37,4.1052737,7.424228,2.9950712950073006,149.6875,-5.1875,-5.5625,117.9375,-5.5625,-56.125,-5.375,-5.375,-5.375,-86.625,-5.375
38,3.362663,5.4363294,2.309797201176304,149.6875,-5.1875,-5.5625,117.9375,-5.5625,-56.125,-5.375,-5.375,-5.375,-86.625,-5.375
39,3.0513895,5.2194257,2.243666335907837,149.6875,-5.1875,-5.5625,117.9375,-5.5625,-56.125,-5.375,-5.375,-5.375,-86.625,-5.375
40,3.4233327,5.0644627,2.154687454986521,149.6875,-5.1875,-5.5625,117.9375,-5.5625,-56.125,-5.375,-5.375,-5.375,-86.625,-5.375
41,2.9294353,4.8552036,2.085240465936301,149.6875,-5.1875,-5.5625,117.9375,-5.5625,-56.125,-5.375,-5.375,-5.375,-86.625,-5.375
42,6.055387,11.41931,4.745822156050767,-132.375,250.625,-125.875,-127.8125,-41.125,-16.1875,-5.375,-5.375,-5.375,88.5,-5.375
43,4.8385973,7.6635375,2.9123788748757105,-132.375,250.625,-125.875,-127.8125,-41.125,-16.1875,-5.375,-5.375,-5.375,88.5,-5.375
44,3.669907,6.6943974,2.594346030695,-132.375,250.625,-125.875,-127.8125,-41.125,-16.1875,-5.375,-5.375,-5.375,88.5,-5.375
45,3.861972,6.5384927,2.707637925784208,-132.375,250.625,-125.875,-127.8125,-41.125,-16.1875,-5.375,-5.375,-5.375,88.5,-5.375
46,3.8671875,6.497319,2.69121980882728,-132.375,250.625,-125.875,-127.8125,-41.125,-16.1875,-5.375,-5.375,-5.375,88.5,-5.375
47,3.3126225,6.1952157,2.401529096650785,-132.375,250.625,-125.875,-127.8125,-41.125,-16.1875,-5.375,-5.375,-5.375,88.5,-5.375
48,3.556864,5.9394865,2.3860470931659608,-132.375,250.625,-125.875,-127.8125,-41.125,-16.1875,-5.375,-5.375,-5.375,88.5,-5.375
49,3.108974,5.3516593,2.1272425839057174,-132.375,250.625,-125.875,-127.8125,-41.125,-16.1875,-5.375,-5.375,-5.375,88.5,-5.375
50,3.1023731,5.4582305,2.070651722270607,-129.75,-7.375,-7.3125,104.75,0.25,82.25,115.0625,113.4375,109.4375,-45.6875,-72.125
51,3.5981658,6.3602114,2.365937996019997,-3.5625,-87.875,165.8125,-87.9375,-3.5,-114.3125,233.125,-101.375,-5.4375,24.3125,-5.4375
52,5.382884,9.466892,3.370448046615822,216.0625,272.5625,67.8125,67.5,38.1875,-0.5,-18.1875,-18.25,-5.375,58.125,-18.75
53,6.959313,13.802493,4.989041252077269,65.3125,-12.875,141.0,141.0,-0.5,-12.9375,-1.0625,-5.375,-5.375,101.25,-5.375
